Seq Num,Source,Queue @src,Transmit @src,Receive @C,Transmit @C,Receive @D
2,,0,51,21,,52
3,,0,71,31,,72
4,,0,81,41,,82
5,,0,91,51,,92
6,,0,101,61,,102
7,,0,111,71,,112
8,,0,121,81,,122
9,,0,131,91,,132
10,,0,100,101,,
11,,0,,,,
102,,0,61,21,,62
103,,0,,,,
104,,500,,,,
105,,500,,,,
12,,1000,,,,
13,,1000,,,,
14,,1000,,,,
15,,1000,,,,
16,,1000,,,,
17,,1000,,,,
18,,1000,,,,
19,,1000,,,,
20,,1000,,,,
21,,1000,,,,
106,,1000,,,,
107,,1000,,,,
108,,1500,,,,
109,,1500,,,,
22,,2000,,,,
23,,2000,,,,
24,,2000,,,,
25,,2000,,,,
26,,2000,,,,
27,,2000,,,,
28,,2000,,,,
29,,2000,,,,
30,,2000,,,,
31,,2000,,,,
110,,2000,,,,
111,,2000,,,,
112,,2500,,,,
113,,2500,,,,
32,,3000,,,,
33,,3000,,,,
34,,3000,,,,
35,,3000,,,,
36,,3000,,,,
37,,3000,,,,
38,,3000,,,,
39,,3000,,,,
40,,3000,,,,
41,,3000,,,,
114,,3000,,,,
115,,3000,,,,
116,,3500,,,,
117,,3500,,,,
42,,4000,,,,
43,,4000,,,,
44,,4000,,,,
45,,4000,,,,
46,,4000,,,,
47,,4000,,,,
48,,4000,,,,
49,,4000,,,,
50,,4000,,,,
51,,4000,,,,
118,,4000,,,,
119,,4000,,,,
120,,4500,,,,
121,,4500,,,,
52,,5000,,,,
53,,5000,,,,
54,,5000,,,,
55,,5000,,,,
56,,5000,,,,
57,,5000,,,,
58,,5000,,,,
59,,5000,,,,
60,,5000,,,,
61,,5000,,,,
122,,5000,,,,
123,,5000,,,,
124,,5500,,,,
125,,5500,,,,
62,,6000,,,,
63,,6000,,,,
64,,6000,,,,
65,,6000,,,,
66,,6000,,,,
67,,6000,,,,
68,,6000,,,,
69,,6000,,,,
70,,6000,,,,
71,,6000,,,,
126,,6000,,,,
127,,6000,,,,
128,,6500,,,,
129,,6500,,,,
72,,7000,,,,
73,,7000,,,,
74,,7000,,,,
75,,7000,,,,
76,,7000,,,,
77,,7000,,,,
78,,7000,,,,
79,,7000,,,,
80,,7000,,,,
81,,7000,,,,
130,,7000,,,,
131,,7000,,,,
132,,7500,,,,
133,,7500,,,,
82,,8000,,,,
83,,8000,,,,
84,,8000,,,,
85,,8000,,,,
86,,8000,,,,
87,,8000,,,,
88,,8000,,,,
89,,8000,,,,
90,,8000,,,,
91,,8000,,,,
134,,8000,,,,
135,,8000,,,,
136,,8500,,,,
137,,8500,,,,
92,,9000,,,,
93,,9000,,,,
94,,9000,,,,
95,,9000,,,,
96,,9000,,,,
97,,9000,,,,
98,,9000,,,,
99,,9000,,,,
100,,9000,,,,
101,,9000,,,,
138,,9000,,,,
139,,9000,,,,
140,,9500,,,,
141,,9500,,,,
